class,threshold,tp,fp,fn,precision,recall,f1,jaccard,fp_per_image,fn_per_image
Leucocyte,0.8799999952316284,133,0,439,1.0,0.23251748251748253,0.37730496453900714,0.23251748251748253,0.0,8.283018867924529
Leucocyte,0.8899999856948853,92,0,480,1.0,0.16083916083916083,0.27710843373493976,0.16083916083916083,0.0,9.056603773584905
Leucocyte,0.8999999761581421,51,0,521,1.0,0.08916083916083917,0.1637239165329053,0.08916083916083917,0.0,9.830188679245284
Leucocyte,0.9100000262260437,23,0,549,1.0,0.04020979020979021,0.0773109243697479,0.04020979020979021,0.0,10.358490566037736
Leucocyte,0.9200000166893005,5,0,567,1.0,0.008741258741258742,0.01733102253032929,0.008741258741258742,0.0,10.69811320754717
Leucocyte,0.9300000071525574,0,0,572,0.0,0.0,0.0,0.0,0.0,10.79245283018868
Leucocyte,0.9399999976158142,0,0,572,0.0,0.0,0.0,0.0,0.0,10.79245283018868
Leucocyte,0.949999988079071,0,0,572,0.0,0.0,0.0,0.0,0.0,10.79245283018868
Squamous Epithelial Cell,0.0,204,1642,0,0.1105092091007584,1.0,0.19902439024390242,0.1105092091007584,30.9811320754717,0.0
Squamous Epithelial Cell,0.009999999776482582,204,1525,0,0.11798727588201273,1.0,0.2110708742886705,0.11798727588201273,28.77358490566038,0.0
Squamous Epithelial Cell,0.019999999552965164,204,831,0,0.19710144927536233,1.0,0.3292978208232446,0.19710144927536233,15.679245283018869,0.0
Squamous Epithelial Cell,0.029999999329447746,204,548,0,0.2712765957446808,1.0,0.42677824267782427,0.2712765957446808,10.339622641509434,0.0
Squamous Epithelial Cell,0.03999999910593033,204,410,0,0.3322475570032573,1.0,0.49877750611246946,0.3322475570032573,7.735849056603773,0.0
Squamous Epithelial Cell,0.05000000074505806,204,332,0,0.3805970149253731,1.0,0.5513513513513513,0.3805970149253731,6.264150943396227,0.0
Squamous Epithelial Cell,0.05999999865889549,204,255,0,0.4444444444444444,1.0,0.6153846153846153,0.4444444444444444,4.811320754716981,0.0
Squamous Epithelial Cell,0.07000000029802322,204,187,0,0.5217391304347826,1.0,0.6857142857142856,0.5217391304347826,3.5283018867924527,0.0
Squamous Epithelial Cell,0.07999999821186066,204,139,0,0.5947521865889213,1.0,0.7458866544789762,0.5947521865889213,2.6226415094339623,0.0
Squamous Epithelial Cell,0.09000000357627869,204,106,0,0.6580645161290323,1.0,0.7937743190661478,0.6580645161290323,2.0,0.0
Squamous Epithelial Cell,0.10000000149011612,204,88,0,0.6986301369863014,1.0,0.8225806451612903,0.6986301369863014,1.6603773584905661,0.0
Squamous Epithelial Cell,0.10999999940395355,204,70,0,0.7445255474452555,1.0,0.8535564853556485,0.7445255474452555,1.320754716981132,0.0
Squamous Epithelial Cell,0.11999999731779099,204,54,0,0.7906976744186046,1.0,0.8831168831168831,0.7906976744186046,1.0188679245283019,0.0
Squamous Epithelial Cell,0.12999999523162842,204,50,0,0.8031496062992126,1.0,0.8908296943231442,0.8031496062992126,0.9433962264150944,0.0
Squamous Epithelial Cell,0.14000000059604645,204,47,0,0.8127490039840638,1.0,0.8967032967032967,0.8127490039840638,0.8867924528301887,0.0
